profile,stop_mult,rr,tier,slots,families,diag_score,y2023_trades,y2024_trades
P075_R175,0.75,1.75,STRICT,1,0,-999,0,0
P075_R175,0.75,1.75,STRICT,2,0,-999,0,0
P075_R175,0.75,1.75,BALANCED,1,0,-999,0,0
P075_R175,0.75,1.75,BALANCED,2,0,-999,0,0
P075_R225,0.75,2.25,STRICT,1,0,-999,0,0
P075_R225,0.75,2.25,STRICT,2,0,-999,0,0
P075_R225,0.75,2.25,BALANCED,1,0,-999,0,0
P075_R225,0.75,2.25,BALANCED,2,0,-999,0,0
P075_R275,0.75,2.75,STRICT,1,0,-999,0,0
P075_R275,0.75,2.75,STRICT,2,0,-999,0,0
P075_R275,0.75,2.75,BALANCED,1,0,-999,0,0
P075_R275,0.75,2.75,BALANCED,2,0,-999,0,0
P090_R175,0.9,1.75,STRICT,1,0,-999,0,0
P090_R175,0.9,1.75,STRICT,2,0,-999,0,0
P090_R175,0.9,1.75,BALANCED,1,0,-999,0,0
P090_R175,0.9,1.75,BALANCED,2,0,-999,0,0
P090_R225,0.9,2.25,STRICT,1,0,-999,0,0
P090_R225,0.9,2.25,STRICT,2,0,-999,0,0
P090_R225,0.9,2.25,BALANCED,1,0,-999,0,0
P090_R225,0.9,2.25,BALANCED,2,0,-999,0,0
P090_R275,0.9,2.75,STRICT,1,0,-999,0,0
P090_R275,0.9,2.75,STRICT,2,0,-999,0,0
P090_R275,0.9,2.75,BALANCED,1,0,-999,0,0
P090_R275,0.9,2.75,BALANCED,2,0,-999,0,0
P105_R175,1.05,1.75,STRICT,1,0,-999,0,0
P105_R175,1.05,1.75,STRICT,2,0,-999,0,0
P105_R175,1.05,1.75,BALANCED,1,0,-999,0,0
P105_R175,1.05,1.75,BALANCED,2,0,-999,0,0
P105_R225,1.05,2.25,STRICT,1,0,-999,0,0
P105_R225,1.05,2.25,STRICT,2,0,-999,0,0
P105_R225,1.05,2.25,BALANCED,1,0,-999,0,0
P105_R225,1.05,2.25,BALANCED,2,0,-999,0,0
P105_R275,1.05,2.75,STRICT,1,0,-999,0,0
P105_R275,1.05,2.75,STRICT,2,0,-999,0,0
P105_R275,1.05,2.75,BALANCED,1,0,-999,0,0
P105_R275,1.05,2.75,BALANCED,2,0,-999,0,0
