family,setup,side,n,PF,expR,n2023,pf2023,net2023,n2024,pf2024,net2024,profile,stop_mult,rr
EXHAUST_LONG|02_06|DN,EXHAUST_LONG,LONG,70,0.7922998986828779,-0.1464285714285715,41,0.5222734254992318,-15.550000000000002,29,1.3154761904761902,5.299999999999998,P075_R175,0.75,1.75
EXHAUST_LONG|02_06|FLAT,EXHAUST_LONG,LONG,38,0.6596119929453261,-0.25394736842105275,23,0.34085213032581446,-13.150000000000004,15,1.4166666666666665,3.5,P075_R175,0.75,1.75
EXHAUST_LONG|02_06|SD,EXHAUST_LONG,LONG,604,0.8379995214166063,-0.11208609271523179,322,0.8753702437912959,-27.34999999999999,282,0.7966742252456531,-40.35,P075_R175,0.75,1.75
EXHAUST_LONG|02_06|SU,EXHAUST_LONG,LONG,1,99.0,1.7,0,0.0,0.0,1,99.0,1.7,P075_R175,0.75,1.75
EXHAUST_LONG|02_06|UP,EXHAUST_LONG,LONG,10,0.6938775510204082,-0.22500000000000003,6,1.6190476190476188,1.95,4,0.0,-4.2,P075_R175,0.75,1.75
EXHAUST_LONG|06_0830|DN,EXHAUST_LONG,LONG,50,0.9107142857142856,-0.060000000000000046,21,1.214285714285714,2.7,29,0.7285714285714284,-5.700000000000001,P075_R175,0.75,1.75
EXHAUST_LONG|06_0830|FLAT,EXHAUST_LONG,LONG,19,0.5782312925170067,-0.3263157894736842,3,0.8095238095238094,-0.40000000000000013,16,0.5396825396825395,-5.800000000000001,P075_R175,0.75,1.75
EXHAUST_LONG|06_0830|SD,EXHAUST_LONG,LONG,318,1.0624999999999991,0.039622641509433947,174,1.17020273455917,18.049999999999997,144,0.9429618001046572,-5.449999999999999,P075_R175,0.75,1.75
EXHAUST_LONG|06_0830|UP,EXHAUST_LONG,LONG,3,0.8095238095238094,-0.1333333333333334,1,99.0,1.7,2,0.0,-2.1,P075_R175,0.75,1.75
EXHAUST_LONG|0830_11|DN,EXHAUST_LONG,LONG,50,0.3554006968641115,-0.555,23,0.2428571428571428,-15.900000000000006,27,0.46258503401360535,-11.850000000000005,P075_R175,0.75,1.75
EXHAUST_LONG|0830_11|FLAT,EXHAUST_LONG,LONG,16,0.9714285714285712,-0.018750000000000044,9,0.8095238095238095,-1.2000000000000004,7,1.2142857142857142,0.8999999999999995,P075_R175,0.75,1.75
EXHAUST_LONG|0830_11|SD,EXHAUST_LONG,LONG,423,0.7924211938296443,-0.1463356973995272,208,0.7863945578231292,-31.4,215,0.7982804232804233,-30.500000000000004,P075_R175,0.75,1.75
EXHAUST_LONG|0830_11|UP,EXHAUST_LONG,LONG,7,2.1587301587301586,0.5214285714285715,5,2.4285714285714284,3.0,2,1.6190476190476188,0.6499999999999999,P075_R175,0.75,1.75
EXHAUST_LONG|11_1330|DN,EXHAUST_LONG,LONG,12,0.5396825396825395,-0.36250000000000004,6,0.8095238095238094,-0.8000000000000005,6,0.3238095238095238,-3.55,P075_R175,0.75,1.75
EXHAUST_LONG|11_1330|FLAT,EXHAUST_LONG,LONG,2,0.0,-1.05,1,0.0,-1.05,1,0.0,-1.05,P075_R175,0.75,1.75
