family,setup,side,n,PF,expR,n2023,pf2023,net2023,n2024,pf2024,net2024,profile,stop_mult,rr,min_pf_23_24,stable_score
SWEEP_SHORT|06_0830|UP,SWEEP_SHORT,SHORT,76,1.3664596273291933,0.2328947368421053,40,1.3968253968253967,10.000000000000002,36,1.3333333333333328,7.700000000000003,P075_R225,0.75,2.25,1.3333333333333328,2.3148464912280695
SWEEP_SHORT|06_0830|UP,SWEEP_SHORT,SHORT,76,1.2928064842958469,0.19013157894736846,40,1.3968253968253967,10.0,36,1.1842650103519665,4.450000000000003,P090_R225,0.9,2.25,1.1842650103519665,2.1508110629835455
SWEEP_SHORT|06_0830|UP,SWEEP_SHORT,SHORT,76,1.3106575963718823,0.18026315789473682,40,1.4648526077097501,10.249999999999998,36,1.1564625850340131,3.449999999999998,P090_R175,0.9,1.75,1.1564625850340131,2.119554690297171
SWEEP_SHORT|06_0830|UP,SWEEP_SHORT,SHORT,76,1.1868131868131873,0.13421052631578953,40,1.1020408163265303,3.0,36,1.2857142857142856,7.200000000000002,P075_R275,0.75,2.75,1.1020408163265303,2.049014500537057
SWEEP_SHORT|06_0830|UP,SWEEP_SHORT,SHORT,76,1.1545189504373181,0.10460526315789483,40,1.257142857142857,6.750000000000001,36,1.0476190476190474,1.2000000000000026,P105_R225,1.05,2.25,1.0476190476190474,1.9842308897243106
SWEEP_SHORT|06_0830|UP,SWEEP_SHORT,SHORT,76,1.242524916943522,0.144078947368421,40,1.4648526077097501,10.25,36,1.03030303030303,0.699999999999998,P075_R175,0.75,1.75,1.03030303030303,1.9807306618819773
SWEEP_LONG|06_0830|SD,SWEEP_LONG,LONG,239,1.0313111545988252,0.020083682008368207,129,1.024713682941531,2.049999999999998,110,1.0390902629708603,2.7499999999999982,P105_R175,1.05,1.75,1.024713682941531,1.9317429716444598
EXHAUST_LONG|06_0830|SD,EXHAUST_LONG,LONG,318,1.047619047619047,0.033333333333333375,174,1.0749482401656312,9.050000000000011,144,1.0152184585174275,1.5500000000000114,P075_R225,0.75,2.25,1.0152184585174275,1.9268851251840942
PULLBACK_LONG|02_06|UP,PULLBACK_LONG,LONG,144,1.1564625850340136,0.09583333333333331,70,1.3634085213032587,14.499999999999993,74,0.9855072463768121,-0.7000000000000013,P075_R175,0.75,1.75,0.9855072463768121,1.9190489130434787
VWAP_LONG|02_06|UP,VWAP_LONG,LONG,114,1.0952380952380956,0.05964912280701754,48,0.9714285714285712,-0.9000000000000012,66,1.1929824561403515,7.699999999999999,P075_R175,0.75,1.75,0.9714285714285712,1.8923057644110273
